국가,국가(원어),광역,광역(원어),지구,지구(원어),마을/AOC,마을/AOC(원어),생산자,생산자(원어)
프랑스,France,보르도,Bordeaux,메독,Medoc,생쥘리앵,Saint-Julien,샤토 레오빌 라스 카스,Chateau Leoville Las Cases
프랑스,France,보르도,Bordeaux,메독,Medoc,생쥘리앵,Saint-Julien,샤토 레오빌 푸아페레,Chateau Leoville Poyferre
프랑스,France,보르도,Bordeaux,메독,Medoc,생쥘리앵,Saint-Julien,샤토 생 피에르,Chateau Saint-Pierre
프랑스,France,보르도,Bordeaux,메독,Medoc,생쥘리앵,Saint-Julien,샤토 탈보,Chateau Talbot
프랑스,France,보르도,Bordeaux,메독,Medoc,생테스테프,Saint-Estephe,샤토 칼롱 세귀르,Chateau Calon-Segur
프랑스,France,보르도,Bordeaux,메독,Medoc,생테스테프,Saint-Estephe,샤토 코스 데스투르넬,Chateau Cos d'Estournel
프랑스,France,보르도,Bordeaux,메독,Medoc,생테스테프,Saint-Estephe,샤토 오 마르뷔제,Chateau Haut-Marbuzet
프랑스,France,보르도,Bordeaux,메독,Medoc,생테스테프,Saint-Estephe,샤토 라퐁 로셰,Chateau Lafon-Rochet
프랑스,France,보르도,Bordeaux,메독,Medoc,생테스테프,Saint-Estephe,샤토 레 조름 드 페즈,Chateau Les Ormes de Pez
프랑스,France,보르도,Bordeaux,메독,Medoc,생테스테프,Saint-Estephe,샤토 메네,Chateau Meyney
프랑스,France,보르도,Bordeaux,메독,Medoc,생테스테프,Saint-Estephe,샤토 몽로즈,Chateau Montrose
프랑스,France,보르도,Bordeaux,메독,Medoc,리스트락 메독,Listrac-Medoc,샤토 푸르카 루바네,Chateau Fourcas-Loubaney
프랑스,France,보르도,Bordeaux,메독,Medoc,물리 앙 메독,Moulis-en-Medoc,샤토 샤스 스플린,Chateau Chasse-Spleen
프랑스,France,보르도,Bordeaux,메독,Medoc,물리 앙 메독,Moulis-en-Medoc,샤토 모카이유,Chateau Maucaillou
프랑스,France,보르도,Bordeaux,메독,Medoc,물리 앙 메독,Moulis-en-Medoc,샤토 푸조,Chateau Poujeaux
프랑스,France,보르도,Bordeaux,메독,Medoc,오메독,Haut-Medoc,샤토 캉트메를,Chateau Cantemerle
프랑스,France,보르도,Bordeaux,메독,Medoc,오메독,Haut-Medoc,샤토 라 라귄,Chateau La Lagune
프랑스,France,보르도,Bordeaux,메독,Medoc,오메독,Haut-Medoc,샤토 라네상,Chateau Lanessan
프랑스,France,보르도,Bordeaux,메독,Medoc,오메독,Haut-Medoc,샤토 투르 뒤 오 물랭,Chateau Tour du Haut-Moulin
프랑스,France,보르도,Bordeaux,메독,Medoc,메독,Medoc,샤토 샤르마이,Chateau Charmail
프랑스,France,보르도,Bordeaux,메독,Medoc,메독,Medoc,샤토 시트랑,Chateau Citran
프랑스,France,보르도,Bordeaux,메독,Medoc,메독,Medoc,샤토 포탕삭,Chateau Potensac
프랑스,France,보르도,Bordeaux,메독,Medoc,메독,Medoc,샤토 소시앙도 말레,Chateau Sociando-Mallet
프랑스,France,보르도,Bordeaux,메독,Medoc,메독,Medoc,샤토 투르 오 코상,Chateau Tour Haut-Caussan
프랑스,France,보르도,Bordeaux,그라브,Graves,페삭 레오냥,Pessac-Leognan,바앙 오브리옹,Bahans Haut-Brion
프랑스,France,보르도,Bordeaux,그라브,Graves,페삭 레오냥,Pessac-Leognan,샤토 오바이,Chateau Haut-Bailly
프랑스,France,보르도,Bordeaux,그라브,Graves,페삭 레오냥,Pessac-Leognan,샤토 오브리옹,Chateau Haut-Brion
프랑스,France,보르도,Bordeaux,그라브,Graves,페삭 레오냥,Pessac-Leognan,샤토 라 루비에르,Chateau La Louviere
