alias_ko,name_en,type,note
샤토 브랑 카스테나크,Chateau Brane-Cantenac,producer,
샤토 캘롱 세귀르,Chateau Calon-Segur,producer,
깡뜨메를르,Chateau Cantemerle,producer,
샤토 칸텔루프,Chateau Cantemerle,producer,
깡뜨냑 브라운,Chateau Cantenac-Brown,producer,
샤토 칸테나크 브라운,Chateau Cantenac-Brown,producer,
샤스스플린,Chateau Chasse-Spleen,producer,
샤쓰 스플린,Chateau Chasse-Spleen,producer,
샤또 슈발 블랑,Chateau Cheval Blanc,producer,
끌레르미용,Chateau Clerc-Milon,producer,
클레르 미용,Chateau Clerc-Milon,producer,
샤토 듀크뤼 보카유,Chateau Ducru-Beaucaillou,producer,
뒤포르비벙,Chateau Durfort-Vivens,producer,
샤토 두르포르 비방,Chateau Durfort-Vivens,producer,
샤토 피자크,Chateau Figeac,producer,
가쟁,Chateau Gazin,producer,
샤토 오 페라기,Chateau Haut-Bages-Liberal,producer,
오바이,Chateau Haut-Bailly,producer,
샤토 오 바타이예,Chateau Haut-Batailley,producer,
샤또 오브리옹,Chateau Haut-Brion,producer,
샤토 오 브리옹,Chateau Haut-Brion,producer,
오 마르뷔제,Chateau Haut-Marbuzet,producer,
오마부제,Chateau Haut-Marbuzet,producer,
에글리즈 클리네,Chateau L'Eglise-Clinet,producer,
랭끌로,Chateau L'Enclos,producer,
라플뢰르 뻬트뤼스,Chateau La Fleur-Petrus,producer,
샤토 라 가포리에르,Chateau La Gaffeliere,producer,
라 미숑 오브리옹,Chateau La Mission Haut-Brion,producer,
라미시옹,Chateau La Mission Haut-Brion,producer,
샤토 라 미숑 오브리옹,Chateau La Mission Haut-Brion,producer,
몽도뜨,Chateau La Mondotte,producer,
샤토 라파구스,Chateau Lafagotte,producer,
샤또 라피트,Chateau Lafite Rothschild,producer,
샤토 라퐁 로쉐,Chateau Lafon-Rochet,producer,
라그랑쥬,Chateau Lagrange,producer,
샤토 라굴라,Chateau Lagrange,producer,
랑고아 바르똥,Chateau Langoa-Barton,producer,
샤토 라구에,Chateau Langoa-Barton,producer,
라스꽁브,Chateau Lascombes,producer,
샤또 라뚜르,Chateau Latour,producer,
라뚜르아뽀므롤,Chateau Latour a Pomerol,producer,
르봉파스퇴르,Chateau Le Bon Pasteur,producer,
봉 파스퇴르,Chateau Le Bon Pasteur,producer,
르가이,Chateau Le Gay,producer,
샤토 르팽,Chateau Le Pin,producer,
떼르트르 로트뵈프,Chateau Le Tertre-Roteboeuf,producer,
샤토 레오빌 바통,Chateau Leoville Barton,producer,
샤토 레오빌 라 카스,Chateau Leoville Las Cases,producer,
린취바쥐,Chateau Lynch-Bages,producer,
린치바쥐,Chateau Lynch-Bages,producer,
샤또 랭쉬 바쥬,Chateau Lynch-Bages,producer,
샤또 린취바쥐,Chateau Lynch-Bages,producer,
샤토 린슈 바슈,Chateau Lynch-Bages,producer,
말레스꼬,Chateau Malescot Saint-Exupery,producer,
샤또 마고,Chateau Margaux,producer,
샤또 무통 로쉴드,Chateau Mouton Rothschild,producer,
샤또 무통 로췰드,Chateau Mouton Rothschild,producer,
네냉,Chateau Nenin,producer,
빨메,Chateau Palmer,producer,
샤또 빨메,Chateau Palmer,producer,
샤또 팔머,Chateau Palmer,producer,
빠비매깽,Chateau Pavie-Macquin,producer,
파비 마캉,Chateau Pavie-Macquin,producer,
샤토 뼤이르 라보리,Chateau Pedesclaux,producer,
샤토 피숑 롱그빌 콩테스 드 라랑드,Chateau Pichon Longueville Comtesse de Lalande,producer,
피숑 라랑드,Chateau Pichon Longueville Comtesse de Lalande,producer,
피숑 콩테스,Chateau Pichon Longueville Comtesse de Lalande,producer,
히뽀,Chateau Pichon Longueville Comtesse de Lalande,producer,
샤토 피숑 롱그빌 바통,Chateau Pichon-Longueville Baron,producer,
피숑 바롱,Chateau Pichon-Longueville Baron,producer,
뽕떼까네,Chateau Pontet-Canet,producer,
포탕싹,Chateau Potensac,producer,
뿌조,Chateau Poujeaux,producer,
프리외레 리쉰,Chateau Prieure-Lichine,producer,
셰르뱅 라야스,Chateau Rayas,producer,
생 삐에르,Chateau Saint-Pierre,producer,
쌩삐에르,Chateau Saint-Pierre,producer,
시랑,Chateau Siran,producer,
스미스 오 라피트 블랑,Chateau Smith Haut Lafitte Blanc,producer,
샤토 소시아비 말레,Chateau Sociando-Mallet,producer,
소시안도 말레,Chateau Sociando-Mallet,producer,
수따르,Chateau Soutard,producer,
샤또 딸보,Chateau Talbot,producer,
뚜르뒤오물랭,Chateau Tour du Haut-Moulin,producer,
발랑드로,Chateau Valandraud,producer,
다르마이악,Chateau d'Armailhac,producer,
샤토 다자크,Chateau d'Arsac,producer,
디샹,Chateau d'Issan,producer,
샤또 뒤썅,Chateau d'Issan,producer,
샤토 디샹,Chateau d'Issan,producer,
샤토 디스상,Chateau d'Issan,producer,
샤또 디껨,Chateau d'Yquem,producer,
샤또 디켐,Chateau d'Yquem,producer,
보카스텔,Chateau de Beaucastel,producer,
친짜노,Cinzano,producer,
