canonical_id,type,name_ko,name_ko_primary,is_alias,name_en,name_display,tier,key_ko,key_en,key_len,region_group,ko_source,wikidata
gra00082,grape,도른펠더,도른펠더,0,Dornfelder,Dornfelder,,도르ᄂ베ᄅ더,dornfelder,10,,manual,
gra00081,grape,돌체토,돌체토,0,Dolcetto,Dolcetto,,도ᄅ제도,dolcetto,7,,manual,
gra00081,grape,돌체또,돌체토,1,Dolcetto,Dolcetto,,도ᄅ제도,dolcetto,7,,alias,
gra00085,grape,두렐라,두렐라,0,Durella,Durella,,두레ᄅ라,durella,7,,manual,
gra00084,grape,뒤라스,뒤라스,0,Duras,Duras,,뒤라스,duras,6,,manual,
gra00086,grape,뒤리프,뒤리프,0,Durif,Durif,,뒤리브,durif,6,,manual,
gra00137,grape,라그레인,라그레인,0,Lagrein,Lagrein,,라그레ᅵᄂ,lagrein,8,,manual,
gra00223,grape,라치나 피콜라,라치나 피콜라,0,Racina Piccola,Racina Piccola,,라지나비고ᄅ라,racina piccola,13,,wikidata,
gra00136,grape,라크리마,라크리마,0,Lacrima,Lacrima,,라그리마,lacrima,8,,manual,
gra00138,grape,람브루스코,람브루스코,0,Lambrusco,Lambrusco,,라ᄆ브루스고,lambrusco,11,,added,
gra00224,grape,레드 이글,레드 이글,0,Red Eagle,Red Eagle,,레드ᅵ그ᄅ,red eagle,8,,auto,
gra00227,grape,레지넬라,레지넬라,0,Reginella,Reginella,,레지네ᄅ라,reginella,9,,wikidata,
gra00139,grape,레쿠리 유르제니,레쿠리 유르제니,0,Lekuri Yurdzeni,Lekuri Yurdzeni,,레구리ᅮ르제니,lekuri yurdzeni,13,,wikidata,
gra00225,grape,레포스코,레포스코,0,Refosco,Refosco,,레보스고,refosco,8,,manual,
gra00226,grape,레포스코 달 페둔콜로 로소,레포스코 달 페둔콜로 로소,0,Refosco dal Peduncolo Rosso,Refosco dal Peduncolo Rosso,,레보스고다ᄅ베두ᄂ고ᄅ로로소,refosco dal peduncolo rosso,25,,manual,
gra00232,grape,로디티스,로디티스,0,Roditis,Roditis,,로디디스,roditis,8,,added,
gra00140,grape,로레이루,로레이루,0,Loureiro,Loureiro,,로레ᅵ루,loureiro,7,,manual,
gra00234,grape,로세제,로세제,0,Rossese nero,Rossese nero,,로세제,rossese nero,6,,manual,
gra00233,grape,론디넬라,론디넬라,0,Rondinella,Rondinella,,로ᄂ디네ᄅ라,rondinella,10,,manual,
gra00237,grape,루비 시들리스,루비 시들리스,0,Ruby Seedless,Ruby Seedless,,루비시드ᄅ리스,ruby seedless,13,,wikidata,
gra00235,grape,루산,루산,0,Roussanne,Roussanne,,루사ᄂ,roussanne,5,,manual,
gra00235,grape,루싼느,루산,1,Roussanne,Roussanne,,루사ᄂ느,roussanne,7,,alias,
gra00236,grape,루시,루시,0,Roussi,Roussi,,루시,roussi,4,,wikidata,
gra00239,grape,루엔,루엔,0,Ruen,Ruen,,루ᅦᄂ,ruen,4,,wikidata,
gra00238,grape,루케,루케,0,Ruché,Ruché,,루게,ruche,4,,manual,
gra00231,grape,르카치텔리,르카치텔리,0,Rkatsiteli,Rkatsiteli,,르가지데ᄅ리,rkatsiteli,11,,manual,
gra00228,grape,리볼라 지알라,리볼라 지알라,0,Ribolla Gialla,Ribolla Gialla,,리보ᄅ라지ᅡᄅ라,ribolla gialla,13,,manual,
gra00228,grape,리볼라 좔라,리볼라 지알라,1,Ribolla Gialla,Ribolla Gialla,,리보ᄅ라좌ᄅ라,ribolla gialla,12,,alias,
gra00229,grape,리슬라너,리슬라너,0,Rieslaner,Rieslaner,,리스ᄅ라너,rieslaner,9,,manual,
gra00230,grape,리슬링,리슬링,0,Riesling,Riesling,,리스ᄅ링,riesling,8,,manual,
gra00230,grape,리스링,리슬링,1,Riesling,Riesling,,리스링,riesling,7,,alias,
gra00230,grape,리즐링,리슬링,1,Riesling,Riesling,,리즈ᄅ링,riesling,8,,alias,
gra00150,grape,마르산,마르산,0,Marsanne,Marsanne,,마르사ᄂ,marsanne,7,,manual,
gra00150,grape,마르싼느,마르산,1,Marsanne,Marsanne,,마르사ᄂ느,marsanne,9,,alias,
gra00152,grape,마르체미노,마르체미노,0,Marzemino,Marzemino,,마르제미노,marzemino,10,,manual,
gra00151,grape,마사,마사,0,Martha,Martha,,마사,martha,4,,auto,
gra00153,grape,마수엘로,마수엘로,0,Mazuelo,Mazuelo,,마수ᅦᄅ로,mazuelo,8,,added,
gra00141,grape,마카베오,마카베오,0,Macabeo,Macabeo,,마가베ᅩ,macabeo,7,,manual,
gra00141,grape,비우라,마카베오,1,Macabeo,Macabeo,,비ᅮ라,macabeo,5,,alias,
gra00142,grape,마카뵈,마카뵈,0,Maccabeu,Maccabeu,,마가붸,maccabeu,6,,added,
gra00149,grape,마켓,마켓,0,Marquette,Marquette,,마게ᄉ,marquette,5,,added,
gra00144,grape,말라구시아,말라구시아,0,Malagousia,Malagousia,,마ᄅ라구시ᅡ,malagousia,10,,manual,
gra00143,grape,말리오코,말리오코,0,Magliocco Dolce,Magliocco Dolce,,마ᄅ리ᅩ고,magliocco dolce,8,,manual,
gra00146,grape,말바지아,말바지아,0,Malvasia,Malvasia,,마ᄅ바지ᅡ,malvasia,8,,manual,
gra00147,grape,말바지아 디 카소르초,말바지아 디 카소르초,0,Malvasia di Casorzo,Malvasia di Casorzo,,마ᄅ바지ᅡ디가소르조,malvasia di casorzo,18,,manual,
gra00145,grape,말벡,말벡,0,Malbec,Malbec,,마ᄅ베ᄀ,malbec,6,,manual,
gra00145,grape,꼬뜨,말벡,1,Malbec,Malbec,,고드,malbec,4,,alias,
gra00145,grape,말백,말벡,1,Malbec,Malbec,,마ᄅ베ᄀ,malbec,6,,alias,
gra00145,grape,말베크,말벡,1,Malbec,Malbec,,마ᄅ베그,malbec,7,,alias,
